Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
Car,Toyota,Coaster,2006,"Rs. 13,950,000",220000,Kegalle,4m ago,https://riyasewana.com/buy/toyota-coaster-sale-kegalle-11408501
Car,Honda,FIT Aria,2006,"Rs. 4,800,000",168000,Kottawa,4m ago,https://riyasewana.com/buy/honda-fit-aria-sale-kottawa-11408500
Car,Tata,Safari,2002,"Rs. 1,950,000",100000,Puttalam,5m ago,https://riyasewana.com/buy/tata-safari-sale-puttalam-11408498
Car,Nissan,March K11,2003,"Rs. 3,250,000",169000,Kottawa,5m ago,https://riyasewana.com/buy/nissan-march-k11-sale-kottawa-11408497
Car,Tata,Ace Dimo Batta,2007,"Rs. 1,275,000",46500,Mahiyanganaya,6m ago,https://riyasewana.com/buy/tata-ace-dimo-sale-mahiyanganaya-11408496
Car,Chery,QQ 308,2011,"Rs. 1,950,000",56000,Ratnapura,6m ago,https://riyasewana.com/buy/chery-qq-308-sale-ratnapura-11408495
Car,Toyota,Corona AT170,1991,"Rs. 2,375,000",220000,Homagama,6m ago,https://riyasewana.com/buy/toyota-corona-at170-sale-homagama-11408493
Car,Bajaj,2 Stroke,2006,"Rs. 680,000",10000,Gampaha,6m ago,https://riyasewana.com/buy/bajaj-2-stroke-sale-gampaha-11408492
Car,Honda,Hornet,2008,"Rs. 1,490,000",60000,Horana,7m ago,https://riyasewana.com/buy/honda-hornet-sale-horana-11408491
Car,Suzuki,BURGMAN,2026,"Rs. 1,050,000",800,Mawanella,7m ago,https://riyasewana.com/buy/suzuki-burgman-sale-mawanella-11408490
Car,Suzuki,Maruti,1996,"Rs. 1,350,000",1111,Kalutara,7m ago,https://riyasewana.com/buy/suzuki-maruti-sale-kalutara-11408489
Car,BMW,520I,2003,"Rs. 11,000,000",125000,Malabe,7m ago,https://riyasewana.com/buy/bmw-520i-sale-malabe-11408488
Car,Toyota,Coaster,2008,"Rs. 14,950,000",,Kegalle,9m ago,https://riyasewana.com/buy/toyota-coaster-sale-kegalle-11408487
Car,Bajaj,Discover,2012,"Rs. 275,000",78000,Kadawatha,9m ago,https://riyasewana.com/buy/bajaj-discover-sale-kadawatha-11408486
Car,Toyota,Vios,2003,"Rs. 5,400,000",1,Kandy,9m ago,https://riyasewana.com/buy/toyota-vios-sale-kandy-11408485
Car,Kia,Carnival,2015,"Rs. 19,000,000",106000,Colombo,9m ago,https://riyasewana.com/buy/kia-carnival-sale-colombo-11408484
Car,Micro,Kyron,2007,"Rs. 5,275,000",160000,Homagama,9m ago,https://riyasewana.com/buy/micro-kyron-sale-homagama-11408483
Car,Bajaj,4 Stroke,2014,Negotiable,63400,Nawalapitiya,10m ago,https://riyasewana.com/buy/bajaj-4-stroke-sale-nawalapitiya-11408482
Car,Nissan,Bluebird,1997,"Rs. 3,800,000",150000,Kurunegala,10m ago,https://riyasewana.com/buy/nissan-bluebird-sale-kurunegala-11408481
Car,Suzuki,Wagon R Stingray,2017,"Rs. 6,275,000",122500,Kaduwela,11m ago,https://riyasewana.com/buy/suzuki-wagon-r-sale-kaduwela-11408480
Car,Hero,Pleasure,2011,"Rs. 255,000",24000,Elpitiya,11m ago,https://riyasewana.com/buy/hero-pleasure-sale-elpitiya-11408479
Car,Nissan,AD Wagon,1996,"Rs. 2,375,000",170000,Veyangoda,11m ago,https://riyasewana.com/buy/nissan-ad-wagon-sale-veyangoda-11408478
Car,Yadea,T5,2024,"Rs. 375,000",13000,Anuradapura,11m ago,https://riyasewana.com/buy/yadea-t5-sale-anuradapura-11408477
Car,Toyota,Prius S Touring,2012,Negotiable,135000,Kuliyapitiya,11m ago,https://riyasewana.com/buy/toyota-prius-s-sale-kuliyapitiya-11408476
Car,Tata,Dimo Lokka,2019,"Rs. 3,895,000",240,Kuliyapitiya,12m ago,https://riyasewana.com/buy/tata-dimo-lokka-sale-kuliyapitiya-11408474
Car,Ashok-Leyland,Colombu Rider,2001,Rs. 40,123456,Dambulla,12m ago,https://riyasewana.com/buy/ashok-leyland-colombu-rider-sale-dambulla-11408473
Car,Toyota,Axio X Limited,2007,"Rs. 7,025,000",196000,Negombo,13m ago,https://riyasewana.com/buy/toyota-axio-x-sale-negombo-11408472
Car,Bajaj,CT-100,2005,"Rs. 250,000",6600,Minuwangoda,13m ago,https://riyasewana.com/buy/bajaj-ct-100-sale-minuwangoda-11408471
Car,Honda,Dio,2018,"Rs. 550,000",87000,Colombo,14m ago,https://riyasewana.com/buy/honda-dio-sale-colombo-11408470
Car,Toyota,Vitz,2018,"Rs. 8,150,000",74000,Moratuwa,14m ago,https://riyasewana.com/buy/toyota-vitz-sale-moratuwa-11408469
Van,Nissan,X-Trail,2012,"Rs. 9,500,000",124000,Kaduwela,8h ago,https://riyasewana.com/buy/nissan-x-trail-sale-kaduwela-11404897
Van,Nissan,Dayz Highway Star X Pro Pilot Edition,2023,"Rs. 8,290,000",14000,Nittambuwa,Mar 26,https://riyasewana.com/buy/nissan-dayz-highway-sale-nittambuwa-11394498
Van,BMW,X5,2016,"Rs. 25,500,000",83000,Colombo,Yesterday,https://riyasewana.com/buy/bmw-x5-sale-colombo-11402598
Van,Audi,Q2,2017,"Rs. 11,000,000",159000,Kotte,Mar 21,https://riyasewana.com/buy/audi-q2-sale-kotte-11372317
Van,Micro,TIVOLI,2016,"Rs. 8,300,000",44000,Kandy,Just now,https://riyasewana.com/buy/micro-tivoli-sale-kandy-11408515
Pickup,Toyota,KDH 201 Super GL Dark Prime,2017,"Rs. 27,200,000",120000,Embilipitiya,Yesterday,https://riyasewana.com/buy/toyota-kdh-201-sale-embilipitiya-11400245
Pickup,Mitsubishi,EK Wagon,2024,"Rs. 7,045,000",4600,Ambalangoda,Mar 26,https://riyasewana.com/buy/mitsubishi-ek-wagon-sale-ambalangoda-11396332
Pickup,Hero,Dash,2017,"Rs. 285,000",22000,Piliyandala,3h ago,https://riyasewana.com/buy/hero-dash-sale-piliyandala-11407689
SUV,Toyota,Kdh,2013,"Rs. 18,200,000",116000,Gampaha,Mar 25,https://riyasewana.com/buy/toyota-kdh-sale-gampaha-11391118
SUV,Nissan,Dayz Highway Star G Pro Pilot,2025,"Rs. 8,650,000",1,Kadawatha,Mar 21,https://riyasewana.com/buy/nissan-dayz-highway-sale-kadawatha-11372776
SUV,Kia,Sonet GTX Plus Premium,2026,"Rs. 12,250,000",50,Piliyandala,Mar 26,https://riyasewana.com/buy/kia-sonet-gtx-sale-piliyandala-11397524
SUV,BMW,X2 M35I,2025,Negotiable,1000,Colombo,Mar 26,https://riyasewana.com/buy/bmw-x2-m35i-sale-colombo-11398142
