Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
Car,Daihatsu,Mira B Grade,2025,"Rs. 6,150,000",,Gampaha,Mar 22,https://riyasewana.com/buy/daihatsu-mira-b-sale-gampaha-11379067
Car,Suzuki,Zen,2006,"Rs. 2,490,000",146000,Gampaha,1h ago,https://riyasewana.com/buy/suzuki-zen-sale-gampaha-11408117
Car,Suzuki,Swift,2004,"Rs. 4,250,000",180000,Kottawa,Mar 26,https://riyasewana.com/buy/suzuki-swift-sale-kottawa-11398641
Car,Honda,Super Cub,2009,"Rs. 275,000",60950,Kuliyapitiya,4h ago,https://riyasewana.com/buy/honda-super-cub-sale-kuliyapitiya-11407134
Car,Nissan,Caravan,1995,"Rs. 6,800,000",584390,Warakapola,Just now,https://riyasewana.com/buy/nissan-caravan-sale-warakapola-11408569
Car,Nissan,Qashqai,2018,"Rs. 13,000,000",97127,Gampaha,Just now,https://riyasewana.com/buy/nissan-qashqai-sale-gampaha-11408568
Car,Bajaj,4stoke,2011,"Rs. 125,000",13847,Kalutara,Just now,https://riyasewana.com/buy/bajaj-4stoke-sale-kalutara-11408567
Car,Honda,DIO,2013,"Rs. 395,000",57200,Gampola,Just now,https://riyasewana.com/buy/honda-dio-sale-gampola-11408565
Car,Suzuki,Gixxer 155cc,2018,"Rs. 600,000",81000,Colombo,Just now,https://riyasewana.com/buy/suzuki-gixxer-155cc-sale-colombo-11408564
Car,Toyota,Premio G Superior,2014,"Rs. 11,000,000",2,Colombo,Just now,https://riyasewana.com/buy/toyota-premio-g-sale-colombo-11408562
Car,Toyota,CR51,1997,"Rs. 5,250,000",1111111,Kandy,Just now,https://riyasewana.com/buy/toyota-cr51-sale-kandy-11408561
Car,Toyota,Auris Corolla Hutchback,2008,Rs. 123,128000,Divulapitiya,Just now,https://riyasewana.com/buy/toyota-auris-corolla-sale-divulapitiya-11408560
Car,Mitsubishi,MONTERO V6,2003,"Rs. 11,000,000",166800,Gampaha,1m ago,https://riyasewana.com/buy/mitsubishi-montero-v6-sale-gampaha-11408559
Car,Nissan,FB15 Super Saloon,2000,"Rs. 4,290,000",161600,Kaduwela,1m ago,https://riyasewana.com/buy/nissan-fb15-super-sale-kaduwela-11408558
Car,Nissan,E25,2004,"Rs. 7,800,000",222222,Ja-Ela,1m ago,https://riyasewana.com/buy/nissan-e25-sale-ja-ela-11408557
Car,Tata,Dimo Batta,2013,Negotiable,121452,Hambantota,3m ago,https://riyasewana.com/buy/tata-dimo-batta-sale-hambantota-11408556
Car,Other,Dio,2012,"Rs. 400,000",54000,Kandy,3m ago,https://riyasewana.com/buy/other-dio-sale-kandy-11408555
Car,Bajaj,CT-100,2005,"Rs. 230,000",1000,Ratnapura,3m ago,https://riyasewana.com/buy/bajaj-ct-100-sale-ratnapura-11408554
Car,Kia,Rio,2015,"Rs. 8,000,000",75000,Dehiwala-Mt,4m ago,https://riyasewana.com/buy/kia-rio-sale-dehiwala-mount-lavinia-11408553
Car,Bajaj,RE,2004,"Rs. 785,000",100000,Kandy,4m ago,https://riyasewana.com/buy/bajaj-re-sale-kandy-11408551
Car,Honda,Dio,2016,"Rs. 450,000",123456,Negombo,5m ago,https://riyasewana.com/buy/honda-dio-sale-negombo-11408550
Car,Toyota,Carina,1987,"Rs. 1,150,000",225000,Homagama,5m ago,https://riyasewana.com/buy/toyota-carina-sale-homagama-11408548
Car,TVS,King,2019,"Rs. 1,325,000",42598,Panadura,5m ago,https://riyasewana.com/buy/tvs-king-sale-panadura-11408547
Car,Tata,Nano,2017,"Rs. 2,100,000",1,Colombo,5m ago,https://riyasewana.com/buy/tata-nano-sale-colombo-11408546
Car,Tata,Dimo Batta,2011,"Rs. 1,595,000",85000,Wennappuwa,5m ago,https://riyasewana.com/buy/tata-dimo-batta-sale-wennappuwa-11408544
