Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
Car,Nissan,Dayz Highway Star G Pro Pilot,2025,"Rs. 8,650,000",1,Kadawatha,Mar 21,https://riyasewana.com/buy/nissan-dayz-highway-sale-kadawatha-11372776
Car,Mitsubishi,Montero,2006,"Rs. 12,800,000",178000,Dehiwala-Mt,Mar 23,https://riyasewana.com/buy/mitsubishi-montero-sale-dehiwala-mount-lavinia-11383224
Car,Kia,Sorento,2012,"Rs. 12,000,000",140000,Mirigama,Yesterday,https://riyasewana.com/buy/kia-sorento-sale-mirigama-11399002
Car,Nissan,Dayz Highway Star X Propilot Edition,2024,"Rs. 7,100,000",35000,Colombo,Mar 26,https://riyasewana.com/buy/nissan-dayz-highway-sale-colombo-11397680
Car,Honda,Dio,2017,"Rs. 555,000",27000,Moneragala,Just now,https://riyasewana.com/buy/honda-dio-sale-moneragala-11408538
Car,Honda,Dio,2016,Negotiable,123456,Negombo,Just now,https://riyasewana.com/buy/honda-dio-sale-negombo-11408537
Car,Toyota,LH 103,1995,"Rs. 9,275,000",1,Kandy,Just now,https://riyasewana.com/buy/toyota-lh-103-sale-kandy-11408536
Car,Honda,Dio,2016,Negotiable,123456,Negombo,Just now,https://riyasewana.com/buy/honda-dio-sale-negombo-11408534
Car,Toyota,Town Ace,1990,"Rs. 3,400,000",,Kandy,Just now,https://riyasewana.com/buy/toyota-town-ace-sale-kandy-11408533
Car,Suzuki,Alto,2015,"Rs. 3,550,000",118179,Kandy,Just now,https://riyasewana.com/buy/suzuki-alto-sale-kandy-11408531
Car,FAW,Dolphin 113,1994,"Rs. 6,600,000",1600000,Kurunegala,Just now,https://riyasewana.com/buy/faw-dolphin-113-sale-kurunegala-11408530
Car,Toyota,IST,2008,Negotiable,,Avissawella,Just now,https://riyasewana.com/buy/toyota-ist-sale-avissawella-11408529
Car,Audi,Q3 TFSI,2016,"Rs. 14,500,000",83500,Dehiwala-Mt,1m ago,https://riyasewana.com/buy/audi-q3-tfsi-sale-dehiwala-mount-lavinia-11408528
Car,Suzuki,Alto,2015,"Rs. 3,550,000",118179,Kandy,1m ago,https://riyasewana.com/buy/suzuki-alto-sale-kandy-11408518
Car,Toyota,Vitz,2007,"Rs. 5,390,000",143685,Mirigama,2m ago,https://riyasewana.com/buy/toyota-vitz-sale-mirigama-11408526
Car,Micro,REXTON W 20.,2016,"Rs. 10,500,000",105,Gampaha,2m ago,https://riyasewana.com/buy/micro-rexton-w-sale-gampaha-11408499
Car,Micro,REXTON W 20.,2015,"Rs. 10,500,000",105,Gampaha,2m ago,https://riyasewana.com/buy/micro-rexton-w-sale-gampaha-11408494
Car,Hero,ISmart,2017,"Rs. 225,000",45000,Pannipitiya,2m ago,https://riyasewana.com/buy/hero-ismart-sale-pannipitiya-11408524
Car,Mazda,Bongo,2003,"Rs. 5,000,000",150000,Wennappuwa,2m ago,https://riyasewana.com/buy/mazda-bongo-sale-wennappuwa-11408523
Car,Toyota,KR42 Noah Town Ace,2001,Negotiable,139000,Chilaw,2m ago,https://riyasewana.com/buy/toyota-kr42-noah-sale-chilaw-11408522
Car,Mitsubishi,Delica-L300,1984,"Rs. 2,590,000",,Kalutara,2m ago,https://riyasewana.com/buy/mitsubishi-delica-l300-sale-kalutara-11408521
Car,Toyota,CHR NGX-10 GT 75000km,2018,"Rs. 13,500,000",75000,Colombo,2m ago,https://riyasewana.com/buy/toyota-chr-ngx-10-sale-colombo-11408520
Car,Land-Rover,Discovery 1,1994,"Rs. 6,300,000",170000,Kegalle,2m ago,https://riyasewana.com/buy/land-rover-discovery-1-sale-kegalle-11408519
Car,Yamaha,FZ-S,2015,"Rs. 725,000",,Mirigama,3m ago,https://riyasewana.com/buy/yamaha-fz-s-sale-mirigama-11408382
Car,Micro,Panda,2016,"Rs. 3,250,000",50100,Colombo,4m ago,https://riyasewana.com/buy/micro-panda-sale-colombo-11408517
Car,Suzuki,Every Join,2024,"Rs. 8,250,000",270,Colombo,4m ago,https://riyasewana.com/buy/suzuki-every-join-sale-colombo-11408516
Car,Micro,TIVOLI,2016,"Rs. 8,300,000",44000,Kandy,4m ago,https://riyasewana.com/buy/micro-tivoli-sale-kandy-11408515
Car,Bajaj,2 Stroke,1998,"Rs. 425,000",,Panadura,4m ago,https://riyasewana.com/buy/bajaj-2-stroke-sale-panadura-11408514
Car,Honda,Civic Es8,2002,"Rs. 5,500,000",240000,Kandy,4m ago,https://riyasewana.com/buy/honda-civic-es8-sale-kandy-11408513
Car,Hero,Splendor,2008,"Rs. 175,000",110,Nittambuwa,4m ago,https://riyasewana.com/buy/hero-splendor-sale-nittambuwa-11408512
Car,Suzuki,Every PA Limited Safety Package,2025,"Rs. 7,125,000",2719,Harispattuwa,5m ago,https://riyasewana.com/buy/suzuki-every-pa-sale-harispattuwa-11408511
Car,Toyota,Premio G Superior With Electric Seats And Stop,2016,Negotiable,150000,Ja-Ela,5m ago,https://riyasewana.com/buy/toyota-premio-g-sale-ja-ela-11408508
Car,Bajaj,Discover 135,2008,Negotiable,1234,Kurunegala,6m ago,https://riyasewana.com/buy/bajaj-discover-135-sale-kurunegala-11408507
Car,Mahindra,Jeeto,2015,"Rs. 1,690,000",54895,Gampaha,6m ago,https://riyasewana.com/buy/mahindra-jeeto-sale-gampaha-11408504
Car,Bajaj,RE,2002,"Rs. 575,000",1,Kandana,7m ago,https://riyasewana.com/buy/bajaj-re-sale-kandana-11408503
Car,Toyota,Coaster,2006,"Rs. 13,950,000",220000,Kegalle,8m ago,https://riyasewana.com/buy/toyota-coaster-sale-kegalle-11408501
Car,Honda,FIT Aria,2006,"Rs. 4,800,000",168000,Kottawa,8m ago,https://riyasewana.com/buy/honda-fit-aria-sale-kottawa-11408500
Car,Tata,Safari,2002,"Rs. 1,950,000",100000,Puttalam,9m ago,https://riyasewana.com/buy/tata-safari-sale-puttalam-11408498
Car,Nissan,March K11,2003,"Rs. 3,250,000",169000,Kottawa,9m ago,https://riyasewana.com/buy/nissan-march-k11-sale-kottawa-11408497
Car,Tata,Ace Dimo Batta,2007,"Rs. 1,275,000",46500,Mahiyanganaya,9m ago,https://riyasewana.com/buy/tata-ace-dimo-sale-mahiyanganaya-11408496
Car,Chery,QQ 308,2011,"Rs. 1,950,000",56000,Ratnapura,10m ago,https://riyasewana.com/buy/chery-qq-308-sale-ratnapura-11408495
Car,Toyota,Corona AT170,1991,"Rs. 2,375,000",220000,Homagama,10m ago,https://riyasewana.com/buy/toyota-corona-at170-sale-homagama-11408493
Car,Bajaj,2 Stroke,2006,"Rs. 680,000",10000,Gampaha,10m ago,https://riyasewana.com/buy/bajaj-2-stroke-sale-gampaha-11408492
Car,Honda,Hornet,2008,"Rs. 1,490,000",60000,Horana,10m ago,https://riyasewana.com/buy/honda-hornet-sale-horana-11408491
Van,Mitsubishi,Montero,2013,"Rs. 24,000,000",172000,Wattala,Yesterday,https://riyasewana.com/buy/mitsubishi-montero-sale-wattala-11400787
Van,Honda,Scooter,2019,"Rs. 285,000",3500,Colombo,Mar 25,https://riyasewana.com/buy/honda-scooter-sale-colombo-11393440
Van,Suzuki,Alto 800,2015,"Rs. 3,790,000",124000,Kandana,9h ago,https://riyasewana.com/buy/suzuki-alto-800-sale-kandana-11404723
Van,Audi,Q7,2016,"Rs. 24,500,000",98000,Colombo,6h ago,https://riyasewana.com/buy/audi-q7-sale-colombo-11406230
Pickup,Honda,Fit GP1,2011,"Rs. 6,950,000",55870,Kiribathgoda,16h ago,https://riyasewana.com/buy/honda-fit-gp1-sale-kiribathgoda-11404104
Pickup,Bajaj,4 Stroke,2009,"Rs. 1,100,000",70000,Kegalle,Mar 22,https://riyasewana.com/buy/bajaj-4-stroke-sale-kegalle-11378598
Pickup,Micro,Kyron,2008,"Rs. 4,000,000",168000,Colombo,7h ago,https://riyasewana.com/buy/micro-kyron-sale-colombo-11405700
Pickup,Honda,Vezel X,2023,"Rs. 16,100,000",26000,Galle,Mar 20,https://riyasewana.com/buy/honda-vezel-x-sale-galle-11369489
Pickup,Toyota,Corolla EE-110,1998,"Rs. 3,850,000",145000,Kandana,Just now,https://riyasewana.com/buy/toyota-corolla-ee-110-sale-kandana-11408532
SUV,Nissan,CEDRIC Y32 B,1994,"Rs. 5,475,000",141000,Matara,Mar 26,https://riyasewana.com/buy/nissan-cedric-y32-sale-matara-11396341
SUV,Ford,Ranger,2017,Negotiable,110000,Colombo,Mar 20,https://riyasewana.com/buy/ford-ranger-sale-colombo-11368027
SUV,Isuzu,Isuzu,2019,Negotiable,260000,Kadawatha,7h ago,https://riyasewana.com/buy/isuzu-isuzu-sale-kadawatha-11405467
SUV,Toyota,Soluna,2001,"Rs. 3,450,000",215022,Bandaragama,Mar 5,https://riyasewana.com/buy/toyota-soluna-sale-bandaragama-11296965
