Vehicle Type,Make,Model,Year,Price,Milleage,District,published date,Vehicle URL
Car,Suzuki,Swift Center Antenna,2005,"Rs. 4,300,000",123900,Kiribathgoda,2h ago,https://riyasewana.com/buy/suzuki-swift-center-sale-kiribathgoda-11407919
Car,Yamaha,Ray ZR,2018,"Rs. 460,000",39000,Nuwara-Eliya,34m ago,https://riyasewana.com/buy/yamaha-ray-zr-sale-nuwara-eliya-11408410
Car,Honda,Fit GP1,2013,"Rs. 7,000,000",113186,Kalutara,Mar 22,https://riyasewana.com/buy/honda-fit-gp1-sale-kalutara-11378630
Car,Mazda,3,2009,"Rs. 7,400,000",80000,Nawala,6h ago,https://riyasewana.com/buy/mazda-3-sale-nawala-11406094
Car,Toyota,Vitz,2007,"Rs. 5,390,000",143685,Mirigama,Just now,https://riyasewana.com/buy/toyota-vitz-sale-mirigama-11408526
Car,Honda,Dio,2016,Negotiable,123456,Negombo,Just now,https://riyasewana.com/buy/honda-dio-sale-negombo-11408525
Car,Micro,REXTON W 20.,2016,"Rs. 10,500,000",105,Gampaha,Just now,https://riyasewana.com/buy/micro-rexton-w-sale-gampaha-11408510
Car,Micro,REXTON W 20.,2016,"Rs. 10,500,000",105,Gampaha,Just now,https://riyasewana.com/buy/micro-rexton-w-sale-gampaha-11408509
Car,Micro,REXTON W 20.,2016,"Rs. 10,500,000",105,Gampaha,Just now,https://riyasewana.com/buy/micro-rexton-w-sale-gampaha-11408506
Car,Micro,REXTON W 20.,2016,"Rs. 10,500,000",105,Gampaha,Just now,https://riyasewana.com/buy/micro-rexton-w-sale-gampaha-11408502
Car,Micro,REXTON W 20.,2016,"Rs. 10,500,000",105,Gampaha,Just now,https://riyasewana.com/buy/micro-rexton-w-sale-gampaha-11408499
Car,Micro,REXTON W 20.,2015,"Rs. 10,500,000",105,Gampaha,Just now,https://riyasewana.com/buy/micro-rexton-w-sale-gampaha-11408494
Car,Hero,ISmart,2017,"Rs. 225,000",45000,Pannipitiya,Just now,https://riyasewana.com/buy/hero-ismart-sale-pannipitiya-11408524
Car,Mazda,Bongo,2003,"Rs. 5,000,000",150000,Wennappuwa,Just now,https://riyasewana.com/buy/mazda-bongo-sale-wennappuwa-11408523
Car,Toyota,KR42 Noah Town Ace,2001,Negotiable,139000,Chilaw,Just now,https://riyasewana.com/buy/toyota-kr42-noah-sale-chilaw-11408522
Car,Mitsubishi,Delica-L300,1984,"Rs. 2,590,000",,Kalutara,Just now,https://riyasewana.com/buy/mitsubishi-delica-l300-sale-kalutara-11408521
Car,Toyota,CHR NGX-10 GT 75000km,2018,"Rs. 13,500,000",75000,Colombo,1m ago,https://riyasewana.com/buy/toyota-chr-ngx-10-sale-colombo-11408520
Car,Land-Rover,Discovery 1,1994,"Rs. 6,300,000",170000,Kegalle,1m ago,https://riyasewana.com/buy/land-rover-discovery-1-sale-kegalle-11408519
Car,Yamaha,FZ-S,2015,"Rs. 725,000",,Mirigama,1m ago,https://riyasewana.com/buy/yamaha-fz-s-sale-mirigama-11408382
Car,Micro,Panda,2016,"Rs. 3,250,000",50100,Colombo,2m ago,https://riyasewana.com/buy/micro-panda-sale-colombo-11408517
Car,Suzuki,Every Join,2024,"Rs. 8,250,000",270,Colombo,2m ago,https://riyasewana.com/buy/suzuki-every-join-sale-colombo-11408516
Car,Micro,TIVOLI,2016,"Rs. 8,300,000",44000,Kandy,2m ago,https://riyasewana.com/buy/micro-tivoli-sale-kandy-11408515
Car,Bajaj,2 Stroke,1998,"Rs. 425,000",,Panadura,2m ago,https://riyasewana.com/buy/bajaj-2-stroke-sale-panadura-11408514
Car,Honda,Civic Es8,2002,"Rs. 5,500,000",240000,Kandy,2m ago,https://riyasewana.com/buy/honda-civic-es8-sale-kandy-11408513
Car,Hero,Splendor,2008,"Rs. 175,000",110,Nittambuwa,3m ago,https://riyasewana.com/buy/hero-splendor-sale-nittambuwa-11408512
Car,Suzuki,Every PA Limited Safety Package,2025,"Rs. 7,125,000",2719,Harispattuwa,3m ago,https://riyasewana.com/buy/suzuki-every-pa-sale-harispattuwa-11408511
Car,Toyota,Premio G Superior With Electric Seats And Stop,2016,"Rs. 12,690,000",150000,Ja-Ela,4m ago,https://riyasewana.com/buy/toyota-premio-g-sale-ja-ela-11408508
Car,Bajaj,Discover 135,2008,Negotiable,1234,Kurunegala,4m ago,https://riyasewana.com/buy/bajaj-discover-135-sale-kurunegala-11408507
Car,Mahindra,Jeeto,2015,"Rs. 1,690,000",54895,Gampaha,5m ago,https://riyasewana.com/buy/mahindra-jeeto-sale-gampaha-11408504
Car,Bajaj,RE,2002,"Rs. 575,000",1,Kandana,5m ago,https://riyasewana.com/buy/bajaj-re-sale-kandana-11408503
Car,Toyota,Coaster,2006,"Rs. 13,950,000",220000,Kegalle,6m ago,https://riyasewana.com/buy/toyota-coaster-sale-kegalle-11408501
Car,Honda,FIT Aria,2006,"Rs. 4,800,000",168000,Kottawa,6m ago,https://riyasewana.com/buy/honda-fit-aria-sale-kottawa-11408500
Car,Tata,Safari,2002,"Rs. 1,950,000",100000,Puttalam,7m ago,https://riyasewana.com/buy/tata-safari-sale-puttalam-11408498
Car,Nissan,March K11,2003,"Rs. 3,250,000",169000,Kottawa,7m ago,https://riyasewana.com/buy/nissan-march-k11-sale-kottawa-11408497
Car,Tata,Ace Dimo Batta,2007,"Rs. 1,275,000",46500,Mahiyanganaya,7m ago,https://riyasewana.com/buy/tata-ace-dimo-sale-mahiyanganaya-11408496
Car,Chery,QQ 308,2011,"Rs. 1,950,000",56000,Ratnapura,8m ago,https://riyasewana.com/buy/chery-qq-308-sale-ratnapura-11408495
Car,Toyota,Corona AT170,1991,"Rs. 2,375,000",220000,Homagama,8m ago,https://riyasewana.com/buy/toyota-corona-at170-sale-homagama-11408493
